Repository URL,Commit ID
"['https://github.com/FasterXML/jackson-databind', '28badf7ef60ac3e7ef151cd8e8ec010b8479226']","['https://github.com/FasterXML/jackson-databind', '7487cf7eb14be2f65a1eb108e8629c07ef45e0a']"
"['https://github.com/apache/cxf', '4aede7c6a083c65299ec0465d26b1c29b8124eef']","['https://github.com/apache/cxf', 'c8de1a1b497f8c525fb19ed8b0a5e6c289edb323']"
"['https://github.com/spring-projects/spring-data-rest', '824e51a1304bbc8334ac0b96ffaef588177e6cc']","['https://github.com/spring-projects/spring-data-rest', '8f269e28fe8038a6c60f31a1c36cfda04795ab45']"
"['https://github.com/eclipse/jetty.project', '3e7b5f0fa918633ec24bd1bc23d6ee76d32c7729']","['https://github.com/eclipse/jetty.project', '4df5647f6dfdc5fa7abb812afe9290d60b17c098']"
"['https://github.com/apache/hadoop', 'bbe3b0857d383c5e4dc4a7ade90a88a3e24338b']","['https://github.com/apache/hadoop', '0319e74c2512d47d47ab9df834f5b6455be7d968']"
"['https://gitbox.apache.org/repos/asf/activemq.git', '028a33ea7d73fabe6161defffdbfc85578328a68']","['https://gitbox.apache.org/repos/asf/activemq.git', '24ad36778534c5ac888f880837075449169578ad']"
"['https://github.com/netty/netty', '017a9658c97ff1a1355c31a6a1f8bd1ea6f21c8']","['https://github.com/netty/netty', '39cafcb05c99f2aa9fce7e6597664c9ed6a63a9']"
"['https://github.com/FasterXML/jackson-databind/', 'fcfc4998ec23f0b1f7f8a9521c2b317b6c25892b']","['https://github.com/FasterXML/jackson-databind/', '83b928dab9ba6ef81cf48987fcd12071e1ddb0c9']"
"['https://github.com/open-iscsi/rtslib-fb', 'b23d061ee0fa7924d2cdce6194c313b9ee06c468']","['https://github.com/open-iscsi/rtslib-fb', 'dffcf83bead64e959505d64ad587768647caab3a']"
"['https://github.com/apache/cxf', '6c3990144b56097502aa9f3ec9c06f303110902']","['https://github.com/apache/cxf', 'fd85803a73ad46f36816bcb55ed1c4f4b4c4312']"
